Sexo;Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
Ambos sexos;Total Nacional;Extranjera: Total;2010;29.95
Ambos sexos;Total Nacional;Extranjera: Total;2009;28.25
Ambos sexos;Total Nacional;Extranjera: Total;2008;17.44
Ambos sexos;Total Nacional;Extranjera: Total;2007;12.18
Ambos sexos;Total Nacional;Extranjera: Total;2006;11.77
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2021;19.03
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2020;19.97
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2019;15.27
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2018;17.63
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2017;19.69
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2016;22.46
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2015;25.01
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2014;29.62
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2013;30.32
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2012;30.3
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2011;28.6
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2010;26.65
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2009;24.22
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2008;16.01
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2007;11.16
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2006;9.39
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2021;24.9
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2020;26.9
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2019;22.96
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2018;24.38
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2017;26.31
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2016;29.12
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2015;33.54
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2014;37.39
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2013;40.47
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2012;38.61
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2011;34.36
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2010;31.39
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2009;29.96
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2008;18.04
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2007;12.61
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2006;12.08
Ambos sexos;01 Andalucía;Total;2021;21.67
Ambos sexos;01 Andalucía;Total;2020;22.28
Ambos sexos;01 Andalucía;Total;2019;21.19
Ambos sexos;01 Andalucía;Total;2018;22.99
Ambos sexos;01 Andalucía;Total;2017;25.51
Ambos sexos;01 Andalucía;Total;2016;28.89
Ambos sexos;01 Andalucía;Total;2015;31.54
Ambos sexos;01 Andalucía;Total;2014;34.78
Ambos sexos;01 Andalucía;Total;2013;36.22
Ambos sexos;01 Andalucía;Total;2012;34.35
Ambos sexos;01 Andalucía;Total;2011;30.13
Ambos sexos;01 Andalucía;Total;2010;27.77
Ambos sexos;01 Andalucía;Total;2009;25.24
Ambos sexos;01 Andalucía;Total;2008;17.73
Ambos sexos;01 Andalucía;Total;2007;12.76
Ambos sexos;01 Andalucía;Total;2006;12.62
Ambos sexos;01 Andalucía;Española;2021;21.03
Ambos sexos;01 Andalucía;Española;2020;21.48
Ambos sexos;01 Andalucía;Española;2019;20.77
Ambos sexos;01 Andalucía;Española;2018;22.75
Ambos sexos;01 Andalucía;Española;2017;25.24
Ambos sexos;01 Andalucía;Española;2016;28.91
Ambos sexos;01 Andalucía;Española;2015;31.28
Ambos sexos;01 Andalucía;Española;2014;34.4
Ambos sexos;01 Andalucía;Española;2013;35.74
Ambos sexos;01 Andalucía;Española;2012;33.79
Ambos sexos;01 Andalucía;Española;2011;29.21
Ambos sexos;01 Andalucía;Española;2010;26.97
Ambos sexos;01 Andalucía;Española;2009;24.55
Ambos sexos;01 Andalucía;Española;2008;17.14
Ambos sexos;01 Andalucía;Española;2007;12.59
Ambos sexos;01 Andalucía;Española;2006;12.51
Ambos sexos;01 Andalucía;Extranjera: Total;2021;27.55
Ambos sexos;01 Andalucía;Extranjera: Total;2020;29.25
Ambos sexos;01 Andalucía;Extranjera: Total;2019;25.13
Ambos sexos;01 Andalucía;Extranjera: Total;2018;25.39
Ambos sexos;01 Andalucía;Extranjera: Total;2017;28.13
Ambos sexos;01 Andalucía;Extranjera: Total;2016;28.71
Ambos sexos;01 Andalucía;Extranjera: Total;2015;34.1
Ambos sexos;01 Andalucía;Extranjera: Total;2014;38.37
Ambos sexos;01 Andalucía;Extranjera: Total;2013;40.71
Ambos sexos;01 Andalucía;Extranjera: Total;2012;39.23
Ambos sexos;01 Andalucía;Extranjera: Total;2011;38.33
Ambos sexos;01 Andalucía;Extranjera: Total;2010;34.82
Ambos sexos;01 Andalucía;Extranjera: Total;2009;31.23
Ambos sexos;01 Andalucía;Extranjera: Total;2008;22.98
Ambos sexos;01 Andalucía;Extranjera: Total;2007;14.33
Ambos sexos;01 Andalucía;Extranjera: Total;2006;13.76
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2021;24.03
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2020;28.06
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2019;18.7
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2018;21.94
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2017;28.84
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2016;26.93
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2015;32.7
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2014;38.23
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2013;40.53
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2012;37.1
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2011;35.37
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2010;33.97
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2009;28.92
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2008;23.1
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2007;14.57
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2006;13.74
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2021;28.79
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2020;29.85
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2019;29.18
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2018;27.37
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2017;27.7
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2016;29.77
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2015;34.92
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2014;38.48
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2013;40.86
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2012;40.47
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2011;39.8
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2010;35.27
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2009;32.36
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2008;22.92
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2007;14.18
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2006;13.76
Ambos sexos;02 Aragón;Total;2021;10.16
Ambos sexos;02 Aragón;Total;2020;11.7
Ambos sexos;02 Aragón;Total;2019;10.03
Ambos sexos;02 Aragón;Total;2018;10.63
Ambos sexos;02 Aragón;Total;2017;11.65
Ambos sexos;02 Aragón;Total;2016;14.74
Ambos sexos;02 Aragón;Total;2015;16.29
Ambos sexos;02 Aragón;Total;2014;20.17
Ambos sexos;02 Aragón;Total;2013;21.39
Ambos sexos;02 Aragón;Total;2012;18.67
Ambos sexos;02 Aragón;Total;2011;17.07
Ambos sexos;02 Aragón;Total;2010;14.96
Ambos sexos;02 Aragón;Total;2009;13.05
Ambos sexos;02 Aragón;Total;2008;7.29
Ambos sexos;02 Aragón;Total;2007;5.3
Ambos sexos;02 Aragón;Total;2006;5.52
Ambos sexos;02 Aragón;Española;2021;8.67
Ambos sexos;02 Aragón;Española;2020;9.56
Ambos sexos;02 Aragón;Española;2019;8.33
Ambos sexos;02 Aragón;Española;2018;8.84
Ambos sexos;02 Aragón;Española;2017;10.03
Ambos sexos;02 Aragón;Española;2016;12.56
Ambos sexos;02 Aragón;Española;2015;13.47
Ambos sexos;02 Aragón;Española;2014;16.91
Ambos sexos;02 Aragón;Española;2013;17.64
Ambos sexos;02 Aragón;Española;2012;16.07
Ambos sexos;02 Aragón;Española;2011;13.47
Ambos sexos;02 Aragón;Española;2010;12.5
Ambos sexos;02 Aragón;Española;2009;10
Ambos sexos;02 Aragón;Española;2008;5.86
Ambos sexos;02 Aragón;Española;2007;4.53
Ambos sexos;02 Aragón;Española;2006;4.84
Ambos sexos;02 Aragón;Extranjera: Total;2021;18.2
Ambos sexos;02 Aragón;Extranjera: Total;2020;22.6
Ambos sexos;02 Aragón;Extranjera: Total;2019;19.52
Ambos sexos;02 Aragón;Extranjera: Total;2018;21.58
Ambos sexos;02 Aragón;Extranjera: Total;2017;21.77
Ambos sexos;02 Aragón;Extranjera: Total;2016;27.88
Ambos sexos;02 Aragón;Extranjera: Total;2015;32.96
Ambos sexos;02 Aragón;Extranjera: Total;2014;38.84
Ambos sexos;02 Aragón;Extranjera: Total;2013;41.53
Ambos sexos;02 Aragón;Extranjera: Total;2012;32.58
Ambos sexos;02 Aragón;Extranjera: Total;2011;35.53
Ambos sexos;02 Aragón;Extranjera: Total;2010;27.21
Ambos sexos;02 Aragón;Extranjera: Total;2009;28.06
Ambos sexos;02 Aragón;Extranjera: Total;2008;14.43
Ambos sexos;02 Aragón;Extranjera: Total;2007;9.65
Ambos sexos;02 Aragón;Extranjera: Total;2006;10.33
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2021;16.44
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2020;21.05
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2019;18.54
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2018;19.85
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2017;20.59
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2016;28.29
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2015;28.53
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2014;36.3
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2013;37.42
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2012;26.95
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2011;34.2
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2010;25.31
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2009;25.35
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2008;12.98
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2007;7.39
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2006;2.56
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2021;19.89
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2020;24.24
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2019;20.54
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2018;23.39
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2017;23.35
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2016;27.39
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2015;36.66
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2014;41.03
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2013;44.93
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2012;36.71
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2011;36.74
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2010;28.97
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2009;30.48
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2008;15.61
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2007;11.28
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2006;11.12
Ambos sexos;03 Asturias. Principado de;Total;2021;12.53
Ambos sexos;03 Asturias. Principado de;Total;2020;14.12
Ambos sexos;03 Asturias. Principado de;Total;2019;14.19
Ambos sexos;03 Asturias. Principado de;Total;2018;13.61
Ambos sexos;03 Asturias. Principado de;Total;2017;13.71
Ambos sexos;03 Asturias. Principado de;Total;2016;17.62
Ambos sexos;03 Asturias. Principado de;Total;2015;19.11
Ambos sexos;03 Asturias. Principado de;Total;2014;21.13
Ambos sexos;03 Asturias. Principado de;Total;2013;24.13
Ambos sexos;03 Asturias. Principado de;Total;2012;21.83
Ambos sexos;03 Asturias. Principado de;Total;2011;17.84
Ambos sexos;03 Asturias. Principado de;Total;2010;15.92
Ambos sexos;03 Asturias. Principado de;Total;2009;13.42
Ambos sexos;03 Asturias. Principado de;Total;2008;8.5
Ambos sexos;03 Asturias. Principado de;Total;2007;8.41
Ambos sexos;03 Asturias. Principado de;Total;2006;9.16
Ambos sexos;03 Asturias. Principado de;Española;2021;11.74
Ambos sexos;03 Asturias. Principado de;Española;2020;13.04
Ambos sexos;03 Asturias. Principado de;Española;2019;12.91
Ambos sexos;03 Asturias. Principado de;Española;2018;12.31
Ambos sexos;03 Asturias. Principado de;Española;2017;12.95
Ambos sexos;03 Asturias. Principado de;Española;2016;17.21
Ambos sexos;03 Asturias. Principado de;Española;2015;18.79
Ambos sexos;03 Asturias. Principado de;Española;2014;20.26
Ambos sexos;03 Asturias. Principado de;Española;2013;22.84
Ambos sexos;03 Asturias. Principado de;Española;2012;20.6
Ambos sexos;03 Asturias. Principado de;Española;2011;16.64
Ambos sexos;03 Asturias. Principado de;Española;2010;15.11
Ambos sexos;03 Asturias. Principado de;Española;2009;13.02
Ambos sexos;03 Asturias. Principado de;Española;2008;8.25
Ambos sexos;03 Asturias. Principado de;Española;2007;8.04
Ambos sexos;03 Asturias. Principado de;Española;2006;8.83
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2021;24.94
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2020;30.86
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2019;36.38
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2018;37.17
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2017;27.88
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2016;25.18
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2015;25.01
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2014;35.28
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2013;44.11
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2012;40.17
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2011;34.6
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2010;28.12
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2009;19.68
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2008;12.34
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2007;15.51
Ambos sexos;03 Asturias. Principado de;Extranjera: Total;2006;16.69
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2021;18.42
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2020;20.8
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2019;21.02
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2018;39.8
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2017;22.9
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2016;29.1
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2015;15.43
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2014;26.7
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2013;37.94
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2012;32.44
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2011;31.76
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2010;24.51
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2009;5.42
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2008;14.62
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2007;16.98
Ambos sexos;03 Asturias. Principado de;Extranjera: Unión Europea;2006;4.88
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2021;27.34
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2020;35.21
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2019;41.9
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2018;36.17
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2017;30.83
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2016;22.73
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2015;30.26
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2014;39.64
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2013;47.56
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2012;44.34
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2011;36.43
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2010;30.34
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2009;22.06
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2008;11.74
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2007;15
Ambos sexos;03 Asturias. Principado de;Extranjera: No pertenecientes a la Unión Europea;2006;19.41
Ambos sexos;04 Balears. Illes;Total;2021;14.78
Ambos sexos;04 Balears. Illes;Total;2020;16.14
Ambos sexos;04 Balears. Illes;Total;2019;11.74
Ambos sexos;04 Balears. Illes;Total;2018;11.52
Ambos sexos;04 Balears. Illes;Total;2017;12.43
Ambos sexos;04 Balears. Illes;Total;2016;13.89
Ambos sexos;04 Balears. Illes;Total;2015;17.31
Ambos sexos;04 Balears. Illes;Total;2014;20
Ambos sexos;04 Balears. Illes;Total;2013;22.26
Ambos sexos;04 Balears. Illes;Total;2012;23.17
Ambos sexos;04 Balears. Illes;Total;2011;21.86
Ambos sexos;04 Balears. Illes;Total;2010;20.12
Ambos sexos;04 Balears. Illes;Total;2009;17.92
Ambos sexos;04 Balears. Illes;Total;2008;10.16
Ambos sexos;04 Balears. Illes;Total;2007;7.16
Ambos sexos;04 Balears. Illes;Total;2006;6.44
Ambos sexos;04 Balears. Illes;Española;2021;11.7
Ambos sexos;04 Balears. Illes;Española;2020;13.24
Ambos sexos;04 Balears. Illes;Española;2019;9.68
Ambos sexos;04 Balears. Illes;Española;2018;10.73
Ambos sexos;04 Balears. Illes;Española;2017;11.52
Ambos sexos;04 Balears. Illes;Española;2016;12.54
Ambos sexos;04 Balears. Illes;Española;2015;15.54
Ambos sexos;04 Balears. Illes;Española;2014;18.46
Ambos sexos;04 Balears. Illes;Española;2013;21.42
Ambos sexos;04 Balears. Illes;Española;2012;21.84
Ambos sexos;04 Balears. Illes;Española;2011;19.54
Ambos sexos;04 Balears. Illes;Española;2010;15.91
Ambos sexos;04 Balears. Illes;Española;2009;13.99
Ambos sexos;04 Balears. Illes;Española;2008;8.04
Ambos sexos;04 Balears. Illes;Española;2007;6.04
Ambos sexos;04 Balears. Illes;Española;2006;5.65
Ambos sexos;04 Balears. Illes;Extranjera: Total;2021;23.92
Ambos sexos;04 Balears. Illes;Extranjera: Total;2020;25.2
Ambos sexos;04 Balears. Illes;Extranjera: Total;2019;18.3
Ambos sexos;04 Balears. Illes;Extranjera: Total;2018;14.13
Ambos sexos;04 Balears. Illes;Extranjera: Total;2017;15.7
Ambos sexos;04 Balears. Illes;Extranjera: Total;2016;18.77
Ambos sexos;04 Balears. Illes;Extranjera: Total;2015;23.55
Ambos sexos;04 Balears. Illes;Extranjera: Total;2014;25.4
Ambos sexos;04 Balears. Illes;Extranjera: Total;2013;25.18
Ambos sexos;04 Balears. Illes;Extranjera: Total;2012;27.83
Ambos sexos;04 Balears. Illes;Extranjera: Total;2011;29.46
Ambos sexos;04 Balears. Illes;Extranjera: Total;2010;32.61
Ambos sexos;04 Balears. Illes;Extranjera: Total;2009;29.79
Ambos sexos;04 Balears. Illes;Extranjera: Total;2008;16.5
Ambos sexos;04 Balears. Illes;Extranjera: Total;2007;10.86
Ambos sexos;04 Balears. Illes;Extranjera: Total;2006;9.55
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2021;17.5
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2020;18.16
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2019;16.21
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2018;12.48
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2017;11.56
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2016;11.98
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2015;13.59
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2014;12.4
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2013;15.02
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2012;22.79
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2011;23.44
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2010;25.65
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2009;24.27
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2008;18.36
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2007;7.33
Ambos sexos;04 Balears. Illes;Extranjera: Unión Europea;2006;6.95
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2021;28.64
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2020;29.76
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2019;19.75
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2018;15.31
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2017;18.87
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2016;24.19
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2015;32.23
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2014;35.92
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2013;32.72
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2012;32.22
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2011;34.05
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2010;36.37
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2009;32.11
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2008;15.69
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2007;12.58
Ambos sexos;04 Balears. Illes;Extranjera: No pertenecientes a la Unión Europea;2006;10.41
Ambos sexos;05 Canarias;Total;2021;23.18
Ambos sexos;05 Canarias;Total;2020;22.62
Ambos sexos;05 Canarias;Total;2019;20.49
Ambos sexos;05 Canarias;Total;2018;20.07
Ambos sexos;05 Canarias;Total;2017;23.46
Ambos sexos;05 Canarias;Total;2016;26.06
Ambos sexos;05 Canarias;Total;2015;29.11
Ambos sexos;05 Canarias;Total;2014;32.41
Ambos sexos;05 Canarias;Total;2013;33.73
Ambos sexos;05 Canarias;Total;2012;32.58
Ambos sexos;05 Canarias;Total;2011;29.28
Ambos sexos;05 Canarias;Total;2010;28.6
Ambos sexos;05 Canarias;Total;2009;26.01
Ambos sexos;05 Canarias;Total;2008;17.25
Ambos sexos;05 Canarias;Total;2007;10.45
Ambos sexos;05 Canarias;Total;2006;11.62
